cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Elastic Net,352,-0.0355794968531102,-0.0633093299523894,0.4317497226090886,-0.1519959748788209,0.0694985417904944,-0.1638017853155942,0.0391871793414231,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Random forest,352,0.1594636132411565,0.1390946950437035,0.3444455403140255,0.0524512309150467,0.2533147116610751,0.0307021915916258,0.2377678930664592,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,572,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,572,-0.0585406865519155,-0.1085673296454418,0.4047822963431122,-0.1598349065657972,0.0469063161042776,-0.1894672004464637,-0.0325133656729617,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Random forest,572,0.0847958214564866,0.044118185479442,0.3587647863635089,0.0093855499492424,0.1576080094990134,-0.0331996785682849,0.1227790669946594,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Mean baseline,572,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Elastic Net,572,-0.0812911834533425,-0.1039261854035237,0.4047822963431122,-0.166806472593574,0.0063774166049492,-0.1841957383048948,-0.0209142814899431,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Random forest,572,0.0646449335952278,0.0481676931553606,0.3587647863635089,-0.007111451086616,0.1438177661669266,-0.0302409203720276,0.1353001670889122,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Mean baseline,339,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Elastic Net,339,-0.0640918729112484,-0.1138669763344411,0.4260801903486085,-0.196815638745135,0.0664849820641235,-0.2149266191480224,-0.0047467009843471,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Random forest,339,0.0817261681049215,0.0556354709239825,0.3442296050627074,-0.0159302015514374,0.1796557609406503,-0.0454752232451473,0.1683401699216316,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
